pandemic,facemasks,transmission-rate,,,Anova: Two-Factor With Replication,,,,,,,,pandemic,facemasks,pandemic-time,,,Anova: Two-Factor With Replication,,,,,,
1,1,0.333333333,,,,,,,,,,,1,1,14,,,,,,,,,
1,1,5.666666667,,,SUMMARY,facemasks,transmission-rate,Total,,,,,1,1,43,,,SUMMARY,facemasks,pandemic-time,Total,,,
1,1,5,,,1,,,,,,,,1,1,48,,,1,,,,,,
1,1,1,,,Count,10,10,20,,,,,1,1,26,,,Count,10,10,20,,,
1,0,95.33333333,,,Sum,6,395.6666667,401.6666667,,,,,1,0,73,,,Sum,6,654,660,,,
1,1,18.66666667,,,Average,0.6,39.56666667,20.08333333,,,,,1,1,81,,,Average,0.6,65.4,33,,,
1,1,13,,,Variance,0.266666667,1826.001235,1264.653509,,,,,1,1,83,,,Variance,0.266666667,1014.711111,1585.789474,,,
1,0,95.66666667,,,,,,,,,,,1,0,104,,,,,,,,,
1,0,93,,,1,,,,,,,,1,0,72,,,1,,,,,,
1,0,68,,,Count,10,10,20,,,,,1,0,110,,,Count,10,10,20,,,
1,0,48,,,Sum,4,534.3333333,538.3333333,,,,,1,0,98,,,Sum,4,981,985,,,
1,1,35,,,Average,0.4,53.43333333,26.91666667,,,,,1,1,93,,,Average,0.4,98.1,49.25,,,
1,1,31.66666667,,,Variance,0.266666667,597.8777778,1023.472222,,,,,1,1,109,,,Variance,0.266666667,181.6555556,2598.092105,,,
1,0,89,,,,,,,,,,,1,0,75,,,,,,,,,
1,1,48.66666667,,,0,,,,,,,,1,1,93,,,0,,,,,,
1,0,41.66666667,,,Count,10,10,20,,,,,1,0,121,,,Count,10,10,20,,,
1,0,54.66666667,,,Sum,7,777.3333333,784.3333333,,,,,1,0,108,,,Sum,7,1339,1346,,,
1,0,90.33333333,,,Average,0.7,77.73333333,39.21666667,,,,,1,0,82,,,Average,0.7,133.9,67.3,,,
1,0,76.66666667,,,Variance,0.233333333,1345.748148,2199.184503,,,,,1,0,105,,,Variance,0.233333333,2413.877778,5812.536842,,,
1,1,18.66666667,,,,,,,,,,,1,1,97,,,,,,,,,
0,1,8,,,0,,,,,,,,0,1,60,,,0,,,,,,
0,1,8.333333333,,,Count,10,10,20,,,,,0,1,88,,,Count,10,10,20,,,
0,0,96.66666667,,,Sum,3,955.6666667,958.6666667,,,,,0,0,103,,,Sum,3,1613,1616,,,
0,0,93.66666667,,,Average,0.3,95.56666667,47.93333333,,,,,0,0,94,,,Average,0.3,161.3,80.8,,,
0,1,96.33333333,,,Variance,0.233333333,13.48271605,2394.849123,,,,,0,1,175,,,Variance,0.233333333,1270.233333,7423.115789,,,
0,1,96,,,,,,,,,,,0,1,193,,,,,,,,,
0,1,95,,,Total,,,,,,,,0,1,190,,,Total,,,,,,
0,0,95.33333333,,,Count,40,40,,,,,,0,0,107,,,Count,40,40,,,,
0,1,92.66666667,,,Sum,20,2663,,,,,,0,1,146,,,Sum,20,4587,,,,
0,1,95.33333333,,,Average,0.5,66.575,,,,,,0,1,183,,,Average,0.5,114.675,,,,
0,1,93.66666667,,,Variance,0.256410256,1351.789103,,,,,,0,1,173,,,Variance,0.256410256,2471.455769,,,,
0,0,87,,,,,,,,,,,0,0,82,,,,,,,,,
0,0,95.33333333,,,,,,,,,,,0,0,147,,,,,,,,,
0,1,92.66666667,,,ANOVA,,,,,,,,0,1,182,,,ANOVA,,,,,,
0,0,98.66666667,,,Source of Variation,SS,df,MS,F,P-value,F crit,,0,0,173,,,Source of Variation,SS,df,MS,F,P-value,F crit
0,0,97.66666667,,,Sample,9286.859722,3,3095.619907,6.544460935,0.000563282,2.73180701,,0,0,172,,,Sample,26144.2375,3,8714.745833,14.28214361,2.13933E-07,2.73180701
0,1,96,,,Columns,87318.1125,1,87318.1125,184.5995288,1.48517E-21,3.973896992,,0,1,217,,,Columns,260718.6125,1,260718.6125,427.2781717,5.34854E-32,3.973896992
0,0,98.33333333,,,Interaction,9385.926389,3,3128.64213,6.614273331,0.000520764,2.73180701,,0,0,174,,,Interaction,26319.2375,3,8773.079167,14.37774308,1.95943E-07,2.73180701
0,0,98.66666667,,,Within,34056.98889,72,473.0137346,,,,,0,0,161,,,Within,43933.3,72,610.1847222,,,
0,0,97.66666667,,,,,,,,,,,0,0,132,,,,,,,,,
,,,,,Total,140047.8875,79,,,,,,,,,,,Total,357115.3875,79,,,,
